semana,fecha,nombre_desafio,distancia_total,tipo,descripcion_detallada,calentamiento,serie_principal,enfriamiento,objetivo
11,2025-05-17,Serie de Velocidad Máxima,2400,Velocidad,"16 repeticiones de 50m a velocidad máxima con salida de bloque","600m técnica completa","16 x 50m @ 1:00 (RPE 9) - Salir de bloque, máxima velocidad, rotación estilos cada 4 repeticiones","300m técnica recuperación","Desarrollar velocidad máxima, potencia anaeróbica"
12,2025-05-24,Desafío Máximo Volumen,2500,Resistencia,"Alcanzar el volumen objetivo máximo de la temporada (2500m)","600m técnica activación","1000m @ RPE 7 (desc 60s) + 600m @ RPE 7 (desc 45s) + 400m @ RPE 8 (desc 30s) + 200m @ RPE 8 (desc 20s) + 4 x 50m @ RPE 9","300m recuperación","Alcanzar volumen objetivo de temporada"
13,2025-05-31,Test de Rendimiento Final,2500,Prueba,"Batería completa de tests para evaluación final pre-pulimiento","600m activación completa","400m Crol @ máximo (desc 15 min) + 200m Crol @ máximo (desc 10 min) + 100m Estilo @ máximo (desc 8 min) + 8 x 50m @ 1:00 Sprint","400m enfriamiento","Evaluación final de rendimiento pre-pulimiento"
14,2025-06-07,Competencia Simulada Open Primavera,2500,Competencia,"Participación en Open de Primavera - Última competencia antes de Nacional","Calentamiento pre-competencia","COMPETENCIA: Open de Primavera - Pruebas según inscripción individual - Formato: Simulación de Nacional","Enfriamiento post-pruebas","Práctica de estrategia de carrera"
15,2025-06-14,Serie de Mantenimiento Ligero,2300,Recuperación,"Serie suave durante fase de pulimiento para mantener actividad","400m técnica variada","400m @ RPE 6 + 300m @ RPE 6 + 200m @ RPE 7 + 4 x 50m @ RPE 8 (Recuperación amplia entre series)","300m muy suave","Mantener actividad sin fatiga acumulada"
16,2025-06-21,Nado Técnico Libre,2200,Técnico,"Sesión libre enfocada en técnica, salidas y virajes","400m técnica variada","Sesión libre de exploración: Practicar salidas y virajes, probar distancias de competencia a ritmo suave, enfoque en confianza y relajación","300m técnica suave","Preparación mental, visualización"
17,2025-06-28,Nado Suave y Visualización,2000,Mental,"Sesión de visualización activa preparando mentalmente para el Nacional","400m técnica relajada","800m continuo muy suave (RPE 5) + Visualizar cada prueba del Nacional + 6 x 50m técnica perfecta","300m recuperación","Preparación mental final"
18,2025-07-05,Sesión Opcional Muy Ligera,1600,Opcional,"Sesión opcional muy ligera solo si el cuerpo lo requiere","300m técnica relajada","Sesión opcional: 600m continuo muy suave (RPE 4-5) + 4 x 25m técnica perfecta","200m recuperación","Opcional: solo si el cuerpo lo pide"
19,2025-07-12,Pre-calentamiento Nacional - Día 1,Variable,Competencia,"Día 1 del Campeonato Nacional Master","Según horario de pruebas","CAMPEONATO NACIONAL MASTER - DÍA 1: Calentamiento específico según pruebas, Pruebas individuales programadas","Enfriamiento según pruebas","Ejecutar plan de carrera preparado"
20,2025-07-13,Nacional - Día 2,Variable,Competencia,"Día 2 del Campeonato Nacional Master","Calentamiento según horario","CAMPEONATO NACIONAL MASTER - DÍA 2: Pruebas individuales programadas, Aplicar estrategias entrenadas","Enfriamiento post-pruebas","Máximo rendimiento, disfrutar competencia"
